StateFileID,gender,last_name,phone_number,race,age,marital_status,first_name
103ffb722c0fa4047958b316f24ebf5f,female,Aagesen,4108214106,white,61,unmarried,Kelsey
0cd0722a7680561ed603e805e8de56f5,male,Aamodt,4107875048,white,23,married,Daniel
307f5f8db1f51bd3badd11a59ff4616a,female,Aaron,4105118224,white,50,unmarried,Tara
588f45d9709a0c9626718de728e9edcd,male,Abadie,4106063486,white,36,married,Matthew
bf625f7a063eba3373a8efa23e47ff1d,male,Abadie,4106535363,white,28,separated,Rudee
256039c71578dc0e1726572c26a2cf3e,female,Abarca,4107273707,hispanic,44,married,Brittany
840f157cbdf05757bc7fd6fdadc951b4,male,Abayou,4101895154,black,72,married,Elek
80e16bbcc331832a35a97169772aadd5,female,Abbey,4107516360,white,30,married,Marguerite
696fffd1858cc71f42b314d8e097ac78,male,Abbott,4106575772,white,58,separated,Jordan
824cacb56bb68690b292612726c9bd3d,male,Abbott,4102463791,white,62,married,Gregory
9dd3338ae039485690df27bdc83237f8,male,Abbott,4108741816,white,50,married,Sean
a5f039c4373d2a43c183c0bd5b278a9f,male,Abbott,4103981729,white,41,married,Luke
acc77773bdc271a8191d58a9248f8fc7,female,Abbott,4107912166,white,57,separated,Samantha
d55080d69f5c573ec668c80b036f92ad,female,Abbott,41095463,white,36,separated,Sydney
d6398d64baa60132cdf7ae232b77fa4b,male,Abbott,4108503079,white,30,married,Jonathan
f1efdcfafd84ef8e62d5ff5bd670e464,male,Abbott,4103132672,white,39,separated,Johnathan
1d19f8e2554a0e7f0c5fd8fc132621ec,male,Abby,4109251221,white,35,unmarried,Mark
1a31a0a4264f9267a9c6a98007ca2644,female,Abdalla,4106158157,black,23,unmarried,Nya
0c2d591b91040d532f58f4c5b4dac6cf,male,Abdel-Hafiz,4100414896,black,19,unmarried,Kendell
c65446ba5461f261644798be10967655,female,Abdelgadir,4102594827,black,38,married,Rashawnda
a4cd991c16d278a150a5029be42295e1,male,Abdelmawla,4102677669,white,27,married,Jason
3baf7738d4c0e55d93cd5a89bb119f41,female,Abdelsaied,4100295997,white,33,separated,Ashley
ba30ee50912df4fd4621f0037fd4390a,male,Abdi,4102776340,black,74,separated,Michael
e0fcf394497b19084e1bb7a41b8a382d,female,Abdi,4105239361,black,22,unmarried,Kendyll
00e3e8fa5f146874d3040d8391f8ba9b,female,Abdou,4102419123,black,47,unmarried,Jordan
0a1b15d0dad25112f3865d5183afcb64,female,Abdullah,4100479209,black,29,separated,Haley
40b3c16ea40d29dcc64d236eb80dee97,female,Abdullah,4109446123,black,34,married,Thezlanikka
5df175d4777ff5a552a4bd39c7a6c946,female,Abdullah,4106375040,black,20,unmarried,Janethia
d69db7e6310f269ceb7eb101f063c3f6,female,Abdullah,4109815839,black,31,married,Erika
70213698cf37559edb4f97731cbaf8e5,female,Abdurahman,4101655331,black,40,married,Brianna
fac7a56db188d8d1c89aa25fb25902ce,female,Abele,4101295808,white,24,unmarried,Haley
831461ff9cbca20cddc668cf4d13b159,male,Abell-Payne,4101769833,black,34,married,Clarence
c2796948966df1d02db031f48058d706,female,Abell-Payne,4101977441,black,51,separated,Tara
5899f3175a0452360b703d11706aa333,male,Abenes,4109532368,asian,33,separated,Gienry
2673fad2cfadcb6ccae77aedca9763e7,male,Abercrombie,4102596652,white,46,separated,Clay
007c7e13e48c59514aeb34999c27e1ae,male,Abernathy,4107477330,white,28,married,Jeff
b1182329bdf5847d18fb6ef2603e3f09,female,Abernathy,4106340119,white,60,separated,Emmaline
2698d66c7c6d745cf099d101f0e5f34b,male,Abeyta,4108018391,hispanic,59,married,Juan
52f05d631a45ab607c3d83ed77724a23,male,Abeyta,4102667007,hispanic,66,separated,Tomas
6c960909498aa37bf325fdc3cc1cdbe8,male,Abeyta,4103580510,hispanic,41,separated,Deangelo
ae02643d499769aeae532cc524c5a5b3,female,Abeyta,4106803141,hispanic,27,separated,Christen
b2057943e2a30e1961fd1151b2c28cf4,female,Abeyta,4104679803,hispanic,19,unmarried,Tynisha
b5fde1cfc5d2ef0d2c6c73c5eb57b948,female,Abeyta,4105400562,hispanic,49,unmarried,Demi
d6e3c5ddfe23a83670f9d453b42719c0,female,Abeyta,4100694749,hispanic,22,unmarried,Valeria
